username,location,text
sumanebot,Sri Lanka,"RT @jccbatti: Need Dum Biryani in Batticaloa Call 0771834045 &amp; pre Order we Deliver Food ! 

Follow @jccbatti to get Food Delivery Battical…"
sumanebot,Sri Lanka,"RT @Ruzaik: In light of @UberEats always asking whether I want to tip restaurants as a means of supporting them, I’m curious as to whether…"
Uber_Support,Global,"@GeorgiaViolet2 Hi Georgia, we are happy to help. Please follow our support page: https://t.co/Z1e7gkfCqt so our Ub… https://t.co/ZY0LIgCHnp"
Ruzaik,,"In light of @UberEats always asking whether I want to tip restaurants as a means of supporting them, I’m curious as… https://t.co/F8CSXsMKl8"
Surifyy,Somewhere In The U.K,Hungry? Get £15 off your first Uber Eats order of £20 or more. Terms apply. Use my code at checkout: eats-etqnau   https://t.co/HUAdXs3FUk
021McDesi,Cape Town/East London,"RT @lec_catering: Today's menu 😋😋

● Chuck steak R65
● Mala Le Matoana : R30
● Cow Heel : R45

LEC Catering on UberEATS 

If you are around…"
boo55358957,,Uber eats pizza #pizzagatelsreal #uber #UberEats #ChildTrafficking #QArmyWorldwide #EpsteinFlightLogs… https://t.co/Ym6vtw0BfX
Sahad__21,"Halifax, England","Over £3000 worth of freshers deals in one email from your favourite brands such as Amazon, UberEats, Tastecard and… https://t.co/iCF8wz75GQ"
davidjrizo,,@bjsrestaurants @UberEats  hey I order a chocolate chip pizookie in my order and they left it out!!!
HabboPepper,,Hey @UberEats could you wish @Habbo a happy birthday and tag me with it!! Its their 20th birthday and we get a swee… https://t.co/umH8YQvxBF
ShieldVoC,"Stockholm, Sweden",RT @rayloviejones: @Uber_Support @UberEats I’ve been waiting for an order that was supposed to come an hour ago!!!
shellsxxoo,,@Uber_Support Try again I don’t use my email.   🤔🤔🤔🤔 mmmmm how about A REAL HUMAN BEING TO ACTUALLY CALL I KNOW ITS… https://t.co/NHoaDh68LF
Uber_Support,Global,"@Lahna23942218 Hi Lahna, we are happy to help. Please follow our support page: https://t.co/o3awjt2MZu so our Uber… https://t.co/iX6V8MdilX"
tcoanni,UK,Hungry? Get £15 off your first Uber Eats order of £20 or more. Terms apply. Use my code at checkout: eats-ke4yme   https://t.co/khSSwi4m15
TooCool4U2508,"Wylie, TX",@UberEats I'm trying to use a promo SUMMER25 and the button isn't working.
LibbyCMason,Alabama/Louisiana USA,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
shellsxxoo,,#ubersupport #ubereats EVEYONE WARNING ⚠️ UBER DOESNT CARE ON THE DRIVERS THAT COME TO OUR HOME THAT SLICE UP OUR F… https://t.co/0lFlRtVljU
Uber_Support,Global,"@angeleyes786 Hi Aria, as mentioned earlier please follow our support page: https://t.co/g3sbTFUYSr so our Uber Eat… https://t.co/7zcjfZclSb"
halloumilicious,Brighton and Hove,"Order today from 12-8pm on justeatuk deliveroo ubereats_uk from WSK!    🐄🧀🐄🧀🐄 @ Worthing, West Sussex https://t.co/qM7iWimkqg"
realgoatt,,RT @realgoatt: $20 free food order for anyone who got me with ubereats account! first person to dm ...
kixnx,"Dallas, TX",@8LeggdDon Sir are you live tweeting your ubereats order?
rayloviejones,"Oakland, CA",@Uber_Support @UberEats I’ve been waiting for an order that was supposed to come an hour ago!!!
Mabenaldo,Midrand,"RT @lec_catering: Today's menu 😋😋

● Chuck steak R65
● Mala Le Matoana : R30
● Cow Heel : R45

LEC Catering on UberEATS 

If you are around…"
shellsxxoo,,#UberEats #UBERDRIVER #UBERCOVID19 THIS IS SUCH A RUB AROUND AND YOUR DRIVER WRITES BACK IN A DIFFERENT LANGUAGE AN… https://t.co/Lud1tGW68e
iAlchemist310,,"@DoorDash_Help @DoorDash_Help one of your drivers text me, said he was on the way, then cancelled the order half wa… https://t.co/giggxLPMwO"
shellsxxoo,,"RT @shellsxxoo: @Uber_Support And I highly doubt THAT ALL THESE DRIVERS ESPECIALLY MY DRIVER ON THE CONDUCT I SAW TODAY, IS TAKING PRECAUTI…"
shellsxxoo,,"@Uber_Support And I highly doubt THAT ALL THESE DRIVERS ESPECIALLY MY DRIVER ON THE CONDUCT I SAW TODAY, IS TAKING… https://t.co/w8jE6F1VCy"
Elijah40854480,,@UberEats you people are a fucking disgrace!
AbutiPhone,"Boitekong, Rustenburg",RT @NkosiYummy: UberEats
Uber_Support,Global,"@santiagodd Hi Santiago, we are happy to help. Please follow our support page: https://t.co/OHdm4TNC5V so our Uber… https://t.co/k0s4OcXw4w"
geekOnaught,,@seanmorgen @UberEats_AU Damn Govt!
